SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
94925,4,0.990428983,0.000643297,0.09978062,0.00337684,0.065501404,0.00205916,1.979485967,0.070540826,0.799159149,0.037820356,0.454680676,0.025309865,0.319152876,0.019454098,10.96278548,0.492793789,"Temperature[K],MoRSEm7_7,MoRSEu23_7,MolWt",linear_exponential,TRUE
40597,4,0.99999874,8.91E-07,0.001068483,0.000476491,0.00032635,8.21E-06,0.01008139,8.87E-05,0.799074675,0.055067454,0.452843024,0.04482174,0.322689367,0.031937715,11.75566213,0.787492533,"ATSm6_2,Temperature[K],MoRSEm7_7,getawayREn1_7",none_exponential,TRUE
97289,4,0.998028507,0.001797419,0.040983055,0.022407833,0.016460272,0.009797562,0.583704359,0.329696618,0.798967117,0.034562459,0.455213905,0.02251935,0.316078466,0.024313064,12.75343149,2.034525937,"Temperature[K],MolWt,PEOE_VSA5,getawayHATSIP2_3",pureQuadratic_ardexponential,TRUE
90734,4,0.968958401,0.00784414,0.178477292,0.021033049,0.103562298,0.010002573,3.145048988,0.285912057,0.798583133,0.032374005,0.455818472,0.019402184,0.327398705,0.015042163,12.90185947,1.092586087,"Temperature[K],MATSP15_4,RDFc14_6,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
95579,4,0.901009631,0.007808979,0.320768911,0.009324418,0.227895846,0.007722531,7.229586763,0.37546664,0.798484169,0.036064676,0.455744579,0.03001842,0.334817627,0.0258083,12.38738663,2.1258734,"Temperature[K],MoRSEu23_7,PBFscore_1,getawayHATSIP2_3",constant_matern32,TRUE
87628,4,0.999993036,1.03E-05,0.002074994,0.002039016,0.001057582,0.001326827,0.031791594,0.039503523,0.798371469,0.012610481,0.457408796,0.00882277,0.339702014,0.009031415,12.3353715,1.742665953,"Temperature[K],FPSA3_1,getawayHV3_3,getawayREn1_7",pureQuadratic_exponential,TRUE
97869,4,0.903663761,0.004571659,0.316572357,0.003521522,0.226430726,0.003737969,6.989692504,0.236842671,0.798243077,0.033263173,0.456419205,0.033119844,0.331285276,0.017407457,12.5284862,2.456985328,"Temperature[K],PBFscore_1,getawayHATSIP2_3,getawayHm7_3",none_matern32,TRUE
23278,4,0.978319245,0.008404009,0.147703977,0.029265941,0.089828037,0.01705214,2.658628527,0.499651072,0.798083232,0.039597284,0.455801429,0.029178522,0.328427468,0.02317641,12.49396371,1.371028062,"ATSc17_2,Temperature[K],MoRSEm7_7,MolWt",constant_exponential,TRUE
97146,4,0.864783496,0.005864129,0.375072181,0.003471926,0.282721694,0.00140028,8.962774656,0.223230471,0.798067132,0.017212943,0.457472769,0.003757424,0.335115715,0.00813005,12.57167337,1.333621019,"Temperature[K],MoRSEu5_1,getawayHATSIP2_3,rho_2",none_squaredexponential,TRUE
93624,4,0.889423665,0.010562973,0.338915894,0.012555319,0.240742402,0.007357011,7.44094483,0.151537911,0.798052718,0.035123994,0.456284295,0.02694833,0.331423995,0.01923114,11.46851047,0.293110375,"Temperature[K],MoRSEV27_3,fr_bicyclic,getawayREn1_7",linear_ardmatern52,TRUE
