SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
CC(C)C1CCCCC1,343.66,428.8,85.14,3.99747,1452.816,-63.759,https://webbook.nist.gov/cgi/cbook.cgi?ID=C696297&Units=SI&Mask=4,387,31837.6607,4.50294115,CC(C)C1CCCCC1,test,Test,4.50294115
CC1=CCC2CC1C2(C)C,292.59,428.91,136.32,3.92161,1411.869,-68.817,https://webbook.nist.gov/cgi/cbook.cgi?ID=C80568&Units=SI&Mask=4,387,30501.6905,4.48432391,CC1=CCC2CC1C2(C)C,training,Train,4.48432391
COc1ccccc1,383.03,437.26,54.23,4.17726,1489.756,-69.607,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100663&Units=SI&Mask=4,387,30446.21397,4.483533295,COc1ccccc1,test,Test,4.483533295
CCCC(=O)CCC,296,416.9,120.9,5.94977,2199.856,-46.879,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123193&Units=SI&Mask=4,387,30332.4222,4.481907092,CCCC(=O)CCC,training,Train,4.481907092
O=C1CCCCC1,362.78,438.92,76.14,4.1033,1495.51,-63.598,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108941&Units=SI&Mask=4,387,30129.60301,4.478993409,O=C1CCCCC1,training,Train,4.478993409
CCCC1CCCCC1,345.84,430.89,85.05,4.01356,1461.715,-65.16,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1678928&Units=SI&Mask=4,387,29635.73174,4.471815655,CCCC1CCCCC1,training,Train,4.471815655
CCCC(C)CO,298,423,125,6.198,2625.143,3.181,https://webbook.nist.gov/cgi/cbook.cgi?ID=C105306&Units=SI&Mask=4,387,29511.18107,4.469986591,CCCC(C)CO,test,Test,4.469986591
CCCC(=O)OCC(C)C,277.8,430.1,152.3,4.75676,1927.291,-25.089,https://webbook.nist.gov/cgi/cbook.cgi?ID=C539902&Units=SI&Mask=4,387,27004.8923,4.43144245,CCCC(=O)OCC(C)C,training,Train,4.43144245
CCCc1ccccc1,348.97,433.39,84.42,4.07584,1490.963,-66,https://webbook.nist.gov/cgi/cbook.cgi?ID=C103651&Units=SI&Mask=4,387,26983.32422,4.431095452,CCCc1ccccc1,training,Train,4.431095452
CC(C)CCCCC(C)C,279.4,432.9,153.5,4.03804,1487.634,-64.162,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1072168&Units=SI&Mask=4,387,26918.49988,4.430050854,CC(C)CCCCC(C)C,training,Train,4.430050854
CCCOC(=O)CC(C)C,281,429.1,148.1,4.7678,1873.942,-35.977,https://webbook.nist.gov/cgi/cbook.cgi?ID=C557006&Units=SI&Mask=4,387,26870.99329,4.42928372,CCCOC(=O)CC(C)C,training,Train,4.42928372
CCc1cccc(C)c1,351.3,435.47,84.17,4.14072,1529.184,-64.641,https://webbook.nist.gov/cgi/cbook.cgi?ID=C620144&Units=SI&Mask=4,387,24945.3834,4.396990183,CCc1cccc(C)c1,training,Train,4.396990183
CCc1ccc(C)cc1,351.46,436.16,84.7,4.12291,1527.113,-64.229,https://webbook.nist.gov/cgi/cbook.cgi?ID=C622968&Units=SI&Mask=4,387,24640.61911,4.391651616,CCc1ccc(C)cc1,training,Train,4.391651616
CCCCCC(C)=O,292.4,423.4,131,7.24794,3331.738,36.682,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110430&Units=SI&Mask=4,387,24219.74301,4.384169531,CCCCCC(C)=O,valid,Val.,4.384169531
C=C1C2CCC(C2)C1(C)C,320.4,433.7,113.3,4.73866,1893.487,-33.855,https://webbook.nist.gov/cgi/cbook.cgi?ID=C79925&Units=SI&Mask=4,387,23816.42637,4.376876597,C=C1C2CCC(C2)C1(C)C,training,Train,4.376876597
CCOC(=O)CCC(C)C,284,433.6,149.6,4.69631,1847.593,-40.092,https://webbook.nist.gov/cgi/cbook.cgi?ID=C25415672&Units=SI&Mask=4,387,23465.10191,4.370422445,CCOC(=O)CCC(C)C,training,Train,4.370422445
COCCOCCOC,286,433,147,4.87223,1922.137,-38.063,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111966&Units=SI&Mask=4,387,23103.60474,4.363679746,COCCOCCOC,test,Test,4.363679746
